Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,1675138789,3627226676,1622008004,3668423929,1312224827
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,1675138789,3627226676,1622008004,3668423929,3604027166
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,1675138789,593724054,664451835,2502730701,1659574073
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,1675138789,593724054,664451835,2502730701,3655818968
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,1675138789,593724054,664451835,3874522549,910855590
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,1675138789,593724054,664451835,3874522549,3361955646
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,1675138789,593724054,254717963,3193184716,952937928
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,1675138789,593724054,254717963,3193184716,2237686044
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,1675138789,593724054,254717963,2810368616,3694427291
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,1675138789,593724054,254717963,2810368616,804037888
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,659350754,1016583593,98172479,299724121,2870644556
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,659350754,1016583593,98172479,299724121,838606880
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,659350754,1016583593,98172479,179816822,4172128794
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,659350754,1016583593,98172479,179816822,2515377968
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,659350754,1016583593,2694401234,928095335,3522669440
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,659350754,1016583593,2694401234,928095335,3899925273
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,659350754,1016583593,2694401234,290960874,4068299603
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,659350754,1016583593,2694401234,290960874,3571216733
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,659350754,3703323632,4126232100,3191261066,1110798469
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,659350754,3703323632,4126232100,3191261066,4149937500
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,659350754,3703323632,4126232100,1622730472,441613727
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,659350754,3703323632,4126232100,1622730472,87994452
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,659350754,3703323632,1510337171,974979611,2064278422
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,659350754,3703323632,1510337171,974979611,1230402412
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,659350754,3703323632,1510337171,1083381508,949462967
120858170,564333851,1303993941,3655917433,1243801211,830588312,1102068260,659350754,3703323632,1510337171,1083381508,3159267645
120858170,564333851,1303993941,3655917433,1243801211,2736017235,3091009164,2110278254,991582447,3203031329,16227375,861699697
120858170,564333851,1303993941,3655917433,1243801211,2736017235,3091009164,2110278254,991582447,3203031329,16227375,1683155614
120858170,564333851,1303993941,3655917433,1243801211,2736017235,3091009164,2110278254,991582447,3203031329,3394102498,2178384322
120858170,564333851,1303993941,3655917433,1243801211,2736017235,3091009164,2110278254,991582447,3203031329,3394102498,3099062907
120858170,564333851,1303993941,3655917433,1243801211,2736017235,3091009164,2110278254,991582447,1128238922,1362350809,2643473814
120858170,564333851,1303993941,3655917433,1243801211,2736017235,3091009164,2110278254,991582447,1128238922,1362350809,478803015
120858170,564333851,1303993941,3655917433,1243801211,2736017235,3091009164,2110278254,991582447,1128238922,3953631461,269051656
120858170,564333851,1303993941,3655917433,1243801211,2736017235,3091009164,2110278254,991582447,1128238922,3953631461,2879619260
120858170,564333851,1303993941,3655917433,1243801211,2736017235,3091009164,2110278254,2853853698,3554182822,4290801591,362771883
