Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12
2048,1024,512,256,2176,1088,544,272,2184,1092,546,2321
2048,1024,512,256,2176,1088,544,272,2184,1092,2594,1297
2048,1024,512,256,2176,1088,544,272,2184,1092,2594,3345
2048,1024,512,256,2176,1088,544,272,2184,3140,1570,785
2048,1024,512,256,2176,1088,544,272,2184,3140,1570,2833
2048,1024,512,256,2176,1088,544,272,2184,3140,3618,1809
2048,1024,512,256,2176,1088,544,272,2184,3140,3618,3857
2048,1024,512,256,2176,1088,544,2320,1160,580,290,145
2048,1024,512,256,2176,1088,544,2320,1160,580,290,2193
2048,1024,512,256,2176,1088,544,2320,1160,580,2338,1169
2048,1024,512,256,2176,1088,544,2320,1160,580,2338,3217
2048,1024,512,256,2176,1088,544,2320,1160,2628,1314,657
2048,1024,512,256,2176,1088,544,2320,1160,2628,1314,2705
2048,1024,512,256,2176,1088,544,2320,1160,2628,3362,1681
2048,1024,512,256,2176,1088,544,2320,1160,2628,3362,3729
2048,1024,512,256,2176,1088,544,2320,3208,1604,802,401
2048,1024,512,256,2176,1088,544,2320,3208,1604,802,2449
2048,1024,512,256,2176,1088,544,2320,3208,1604,2850,1425
2048,1024,512,256,2176,1088,544,2320,3208,1604,2850,3473
2048,1024,512,256,2176,1088,544,2320,3208,3652,1826,913
2048,1024,512,256,2176,1088,544,2320,3208,3652,1826,2961
2048,1024,512,256,2176,1088,544,2320,3208,3652,3874,1937
2048,1024,512,256,2176,1088,544,2320,3208,3652,3874,3985
2048,1024,512,256,2176,1088,2592,1296,648,324,162,81
2048,1024,512,256,2176,1088,2592,1296,648,324,162,2129
2048,1024,512,256,2176,1088,2592,1296,648,324,2210,1105
2048,1024,512,256,2176,1088,2592,1296,648,324,2210,3153
2048,1024,512,256,2176,1088,2592,1296,648,2372,1186,593
2048,1024,512,256,2176,1088,2592,1296,648,2372,1186,2641
2048,1024,512,256,2176,1088,2592,1296,648,2372,3234,1617
2048,1024,512,256,2176,1088,2592,1296,648,2372,3234,3665
2048,1024,512,256,2176,1088,2592,1296,2696,1348,674,337
2048,1024,512,256,2176,1088,2592,1296,2696,1348,674,2385
2048,1024,512,256,2176,1088,2592,1296,2696,1348,2722,1361
2048,1024,512,256,2176,1088,2592,1296,2696,1348,2722,3409
2048,1024,512,256,2176,1088,2592,1296,2696,3396,1698,849
2048,1024,512,256,2176,1088,2592,1296,2696,3396,1698,2897
2048,1024,512,256,2176,1088,2592,1296,2696,3396,3746,1873
2048,1024,512,256,2176,1088,2592,1296,2696,3396,3746,3921
2048,1024,512,256,2176,1088,2592,3344,1672,836,418,209
2048,1024,512,256,2176,1088,2592,3344,1672,836,418,2257
2048,1024,512,256,2176,1088,2592,3344,1672,836,2466,1233
2048,1024,512,256,2176,1088,2592,3344,1672,836,2466,3281
2048,1024,512,256,2176,1088,2592,3344,1672,2884,1442,721
2048,1024,512,256,2176,1088,2592,3344,1672,2884,1442,2769
2048,1024,512,256,2176,1088,2592,3344,1672,2884,3490,1745
2048,1024,512,256,2176,1088,2592,3344,1672,2884,3490,3793
2048,1024,512,256,2176,1088,2592,3344,3720,1860,930,465
2048,1024,512,256,2176,1088,2592,3344,3720,1860,930,2513
2048,1024,512,256,2176,1088,2592,3344,3720,1860,2978,1489
2048,1024,512,256,2176,1088,2592,3344,3720,1860,2978,3537
2048,1024,512,256,2176,1088,2592,3344,3720,3908,1954,977
2048,1024,512,256,2176,1088,2592,3344,3720,3908,1954,3025
2048,1024,512,256,2176,1088,2592,3344,3720,3908,4002,2001
2048,1024,512,256,2176,1088,2592,3344,3720,3908,4002,4049
2048,1024,512,256,2176,3136,1568,784,392,196,98,49
2048,1024,512,256,2176,3136,1568,784,392,196,98,2097
2048,1024,512,256,2176,3136,1568,784,392,196,2146,1073
2048,1024,512,256,2176,3136,1568,784,392,196,2146,3121
2048,1024,512,256,2176,3136,1568,784,392,2244,1122,561
2048,1024,512,256,2176,3136,1568,784,392,2244,1122,2609
2048,1024,512,256,2176,3136,1568,784,392,2244,3170,1585
2048,1024,512,256,2176,3136,1568,784,392,2244,3170,3633
2048,1024,512,256,2176,3136,1568,784,2440,1220,610,305
2048,1024,512,256,2176,3136,1568,784,2440,1220,610,2353
2048,1024,512,256,2176,3136,1568,784,2440,1220,2658,1329
2048,1024,512,256,2176,3136,1568,784,2440,1220,2658,3377
2048,1024,512,256,2176,3136,1568,784,2440,3268,1634,817
2048,1024,512,256,2176,3136,1568,784,2440,3268,1634,2865
2048,1024,512,256,2176,3136,1568,784,2440,3268,3682,1841
2048,1024,512,256,2176,3136,1568,784,2440,3268,3682,3889
2048,1024,512,256,2176,3136,1568,2832,1416,708,354,177
2048,1024,512,256,2176,3136,1568,2832,1416,708,354,2225
2048,1024,512,256,2176,3136,1568,2832,1416,708,2402,1201
2048,1024,512,256,2176,3136,1568,2832,1416,708,2402,3249
2048,1024,512,256,2176,3136,1568,2832,1416,2756,1378,689
2048,1024,512,256,2176,3136,1568,2832,1416,2756,1378,2737
